"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000065480.1",0,0,0,0,0,0
"ENSMUSG00000025929.4",0,0,0,0,0,0
"ENSMUSG00000041872.9",6,10,2,8,16,6
"ENSMUSG00000041859.10",22618,22342,22874,23440,30747,20504
"ENSMUSG00000099714.1",0,0,0,0,0,0
"ENSMUSG00000102121.1",0,0,0,0,0,0
"ENSMUSG00000088858.1",0,0,0,0,0,0
"ENSMUSG00000097934.1",2,18,0,0,2,4
"ENSMUSG00000025931.15",1026,1116,794,716,705,424
"ENSMUSG00000077314.1",0,2,0,2,0,0
"ENSMUSG00000100929.1",0,0,0,0,0,0
"ENSMUSG00000041809.5",146,160,40,48,28,44
"ENSMUSG00000041779.5",1194,1384,1030,924,1082,790
"ENSMUSG00000099971.1",0,2,0,0,0,2
"ENSMUSG00000100819.1",0,4,8,2,0,8
"ENSMUSG00000025933.15",196,242,104,174,158,166
"ENSMUSG00000102633.1",2,0,6,0,2,0
"ENSMUSG00000025934.15",585,799,655,462,470,824
"ENSMUSG00000099343.1",31,19,21,20,12,18
"ENSMUSG00000096375.2",0,0,0,0,0,0
"ENSMUSG00000025936.15",0,0,0,0,0,0
"ENSMUSG00000093963.1",0,0,0,0,0,0
"ENSMUSG00000067750.3",0,0,0,0,0,0
"ENSMUSG00000086194.1",0,0,0,0,0,0
"ENSMUSG00000094436.1",0,0,0,0,0,0
"ENSMUSG00000041722.7",0,0,0,0,0,0
"ENSMUSG00000085507.1",0,0,0,0,0,0
"ENSMUSG00000094926.1",0,0,0,0,0,0
"ENSMUSG00000085079.3",0,0,0,0,0,0
"ENSMUSG00000085679.2",0,0,0,0,0,0
"ENSMUSG00000028033.16",10,30,2,0,6,16
"ENSMUSG00000104138.1",0,2,0,2,0,0
"ENSMUSG00000082935.3",30,40,14,20,44,38
"ENSMUSG00000103748.1",0,0,0,0,0,0
"ENSMUSG00000099692.1",0,0,0,0,0,0
"ENSMUSG00000100418.1",0,0,0,0,0,0
"ENSMUSG00000041670.16",156,194,86,100,118,118
"ENSMUSG00000097642.1",0,0,0,0,0,0
"ENSMUSG00000101468.1",0,0,0,0,0,0
"ENSMUSG00000101227.1",0,0,0,0,0,0
"ENSMUSG00000073730.2",0,0,0,0,0,0
"ENSMUSG00000089553.1",0,0,0,0,0,0
"ENSMUSG00000102766.1",0,0,0,0,0,0
"ENSMUSG00000065405.3",0,0,0,0,0,0
"ENSMUSG00000097970.1",30,4,10,8,10,8
"ENSMUSG00000065567.1",0,0,0,0,0,0
"ENSMUSG00000100775.1",0,0,0,0,0,2
"ENSMUSG00000101226.1",0,0,0,0,0,0
"ENSMUSG00000026158.11",276,510,260,330,320,286
"ENSMUSG00000097920.1",0,0,2,0,4,0
"ENSMUSG00000099503.1",0,0,0,0,0,0
"ENSMUSG00000026156.8",702,981,515,769,886,660
"ENSMUSG00000026155.13",1460,1809,1131,1511,1796,1230
"ENSMUSG00000026154.4",347,418,222,325,405,274
"ENSMUSG00000102495.1",27,26,22,29,45,6
"ENSMUSG00000026153.15",770,1092,1036,1064,912,606
"ENSMUSG00000102398.1",6,2,0,0,0,0
"ENSMUSG00000097670.1",0,0,0,0,0,0
"ENSMUSG00000026147.16",0,0,0,0,4,0
"ENSMUSG00000026141.13",0,0,0,0,0,0
"ENSMUSG00000077463.1",0,0,0,0,0,0
"ENSMUSG00000099997.1",2,0,4,2,0,4
"ENSMUSG00000100131.1",0,0,0,2,0,2
"ENSMUSG00000067736.2",2,16,0,6,2,10
"ENSMUSG00000101939.1",94,236,114,122,82,242
"ENSMUSG00000101111.1",0,0,2,2,20,4
"ENSMUSG00000100862.1",2,4,0,2,6,4
"ENSMUSG00000102070.1",0,6,0,4,2,2
"ENSMUSG00000101249.1",4,18,0,8,6,6
"ENSMUSG00000073725.8",374,570,562,410,478,484
"ENSMUSG00000100808.1",0,0,0,0,0,0
"ENSMUSG00000100483.1",0,0,0,0,0,0
"ENSMUSG00000100450.1",0,0,0,0,8,0
"ENSMUSG00000099392.1",0,0,0,0,0,0
"ENSMUSG00000033569.17",4,6,0,4,4,0
"ENSMUSG00000080849.1",0,0,0,0,4,0
"ENSMUSG00000104257.1",0,0,0,0,0,0
"ENSMUSG00000096866.1",0,0,0,0,0,0
"ENSMUSG00000102296.1",0,0,0,0,0,0
"ENSMUSG00000103209.1",0,0,0,0,0,0
"ENSMUSG00000104027.1",0,0,0,0,0,0
"ENSMUSG00000102407.1",0,0,0,0,0,0
"ENSMUSG00000103214.1",0,0,0,0,0,0
"ENSMUSG00000104100.1",0,0,0,0,0,0
"ENSMUSG00000084740.1",0,0,0,0,0,0
"ENSMUSG00000103889.1",0,0,0,0,0,0
"ENSMUSG00000101301.1",0,0,0,0,0,0
"ENSMUSG00000104221.1",0,0,0,0,0,0
"ENSMUSG00000102250.1",0,0,0,0,0,0
"ENSMUSG00000102317.1",0,0,0,0,0,0
"ENSMUSG00000103563.1",0,0,0,0,0,0
"ENSMUSG00000102465.1",0,0,0,0,0,0
"ENSMUSG00000102659.1",0,0,0,0,0,0
"ENSMUSG00000103924.1",0,0,0,0,0,0
"ENSMUSG00000104132.1",0,0,0,0,0,0
"ENSMUSG00000102747.1",0,0,0,0,0,0
"ENSMUSG00000102386.1",0,0,0,0,0,0
"ENSMUSG00000103004.1",0,0,0,0,0,0
"ENSMUSG00000104516.1",0,0,0,0,0,0
"ENSMUSG00000101618.1",0,0,0,0,0,0
"ENSMUSG00000099458.1",0,0,0,0,0,0
"ENSMUSG00000088111.1",0,0,0,0,0,0
"ENSMUSG00000073722.3",0,4,0,0,0,0
"ENSMUSG00000095256.1",0,0,0,0,0,0
"ENSMUSG00000100310.1",0,0,0,0,0,0
"ENSMUSG00000101514.1",0,0,0,0,0,0
"ENSMUSG00000101033.1",0,0,0,0,0,0
"ENSMUSG00000101372.1",0,0,0,0,0,0
"ENSMUSG00000103241.1",0,0,0,0,0,0
"ENSMUSG00000086240.4",2,20,20,18,14,28
"ENSMUSG00000048411.4",0,0,0,0,0,0
"ENSMUSG00000081557.2",0,0,0,0,0,0
"ENSMUSG00000058590.2",0,0,0,0,0,0
"ENSMUSG00000101235.1",0,0,0,0,0,0
"ENSMUSG00000064433.1",0,0,0,0,0,0
"ENSMUSG00000080625.1",0,0,0,0,0,0
"ENSMUSG00000080391.1",0,0,0,0,0,0
